n_b;n_a;stride;training_length;input;output;runtime
10;4;4096;20;0101110001111001000111000000100010101111;0000000000000000000000000000000000000000;415330
10;4;4096;20;0010110111001010110001010000011101110001;0010110111001010110001010000011101110001;263672
10;4;4096;20;1000001010100111101110101101011001000001;0000000000000000000000000000000000000000;324984
10;4;4096;20;1011010101111100111101101101010000001011;0000000000000000000000000000000000000000;274808
10;4;4096;20;0101010000101001001011010110000100110111;0101010000100000001011010110000100110111;244857
10;4;4096;20;1101101111001101010000000000101000111011;0000000000000000000000000000101000001011;469939
10;4;4096;20;0111101001010100100110010110000010001110;0111101001010100100110010110000010001110;247079
10;4;4096;20;1001100010100111000011111110110010100001;1001100010100111000011111110110010100001;252000
10;4;4096;20;0010000111001011000110111100110100100000;0000000000000000000000000000000000000000;344603
10;4;4096;20;1111000101010011100000111101101000000001;1111000101010011100000111101101000000001;252928
10;4;4096;20;0101011110101100100001001010010001001110;0110011001100110011001100110011001000110;302748
10;4;4096;20;1000100110011011101110110010111111001101;1000100110011011101110110010111111001101;252265
10;4;4096;20;1011000110110101000101011101010010010100;0000000000000000000000000000000000000000;267988
10;5;4096;20;10111111110101000101110011011010011100011001100111;00000000000000000000000000000000000000000000000000;357007
10;5;4096;20;10111111110101000101110011011010011100011001100111;11001110011100111001110011100111001110011100111001;551017
10;5;4096;20;00110100101101010101001111010001000111111111111010;00110000001101010101001111010001000111111111111010;444854
10;5;4096;20;00011111000101000100101000110110001101000100111010;00000000000000000000000000000010001000000100111010;583619
10;5;4096;20;01000110011111001100011110010000100011001111011101;01000110011111001100011110010000100011001111011101;381434
10;5;4096;20;00111100000110110000001000011010101101110100011011;11001110011100111001110011100111001110011100111001;355940
10;5;4096;20;10011101011010110000110001000110001011100110111101;00000000000000000000000000000000000000000000000000;323130
10;5;4096;20;10000110110110110110101111001110110100001111110101;00000000000000000000000000000000000000000000000000;419016
10;5;4096;20;10110011010101011101111101001000101001100001111000;10110011010101011101111101001000101001100001111000;431520
10;5;4096;20;00100111010111001001010111101001010111001000000011;00000000000000000000000000000000000000000000000000;475783
10;5;4096;20;11110010010000001000110101001001101001100001101111;11110010010000001000110101001001101001100001101111;349572
10;5;4096;20;01011001110010101100001101011101011001011010111111;00000000000000000000000000000000000000000000000000;323684
10;5;4096;20;01111101110011101111000000101100101001001011010000;00000000000000000000000000000000000000000000000000;436930
10;5;4096;20;00111110000111110010001111101111110111110110101010;00111110000111110010001111101111110111110110101010;334723
10;5;4096;20;11101101000000000101011010000101111000010000011011;00000000000000000000000000000000000000000000000000;506380
10;5;4096;20;10000100010101000010000111001111010110011011010101;00000000000000000000000000000000000000000000000000;636426
10;5;4096;20;11100111111100001101001100100010011111110101111100;11100111111100001101001100100010011111110101111100;319398
10;5;4096;20;01000011111001111100000011011111111010110110111001;00000000000000000000000001011111111000000110100000;398948
10;5;4096;20;11001011100000010011011111010011110001111001010110;00000000000000000000000000000000000000000000000000;349671
10;5;4096;20;01011101111100011100001010001110000111100000011001;01011101111100011100001010001110000111100000011001;325591
10;5;4096;20;10111111011011100001000111011000010101001011000111;10111111010000000001000111011000010101001011000111;322746
10;5;4096;20;11010011110110000001100010001110100000111100110000;11010011110110000001100010001110100000111100110000;502338
10;5;4096;20;01101001110110110010010001111100101111001011000010;00000000000000000000000000000000101111001011000010;393142
10;5;4096;20;00110111101001100010010010000111101001111000001110;00110111101001100010010010000111101001111000001110;313943
10;5;4096;20;10101000011101110101111101111100001110101101001001;00000000000000000000000000000000001110101101000000;432217
10;5;4096;20;11100110011011000001111000000011000110110011011101;00000000000000000000000000000000000000000000000000;583451
10;5;4096;20;10011101011010001100101001110110001000111010110101;00000000000000000000000000000000000000000000000000;323795
